"","PROJECT_NUMBER","NEPA_NAME","REGION","NEPA_STATUS","INIT_DATE","DECISION_DATE","NEPA_TYPE","APPEALED","LITIGATED","ELAPSED_DAYS","DECISION_LEVEL","plan.date.min","plan.date.max","comp.date.min","comp.date.max","num.units.plan","num.units.comp","med.time.lag","th","hf","rf","tsi","completed","act.count","proj.dur.plan","proj.dur.comp","proj.delay","COMPLETED","INITIATED","max_date","max.delay","YP","size"
"1444",45873,"Jackson Hole Mountain Resort Suite of Projects","4","Complete","1/5/15","8/31/15","EA","0","0",238,"Ranger District/Mgt Unit","2016-09-01","2016-09-01","2016-09-30","2016-09-30",2364,2364,29,1,0,0,0,1,1,1,1,29,1,1,"2018-12-31",851,2016,"large"
"1445",13072,"Hoback Junction Fuels Reduction","4","Complete","3/21/07","3/4/10","EA","0","0",1079,"Ranger District/Mgt Unit","2010-06-14","2016-04-18","2011-08-01",NA,2316,959,78,0,1,0,0,0.6,15,2136,NA,413,0,1,"2018-12-31",3122,2010,"large"
"1446",12286,"Campground Combo Fuel Treatment","4","Complete","8/11/05","5/5/06","CE","0","0",267,"Ranger District/Mgt Unit","2006-06-01","2009-10-26","2007-09-21",NA,100,100,1,0.25,0.583333333333333,0,0.166666666666667,0.75,12,1244,NA,477,0,1,"2018-12-31",4596,2006,"small"
"1447",45976,"Skyline Wildland Urban Interface Fuels Reduction","4","Complete","7/14/15","9/13/16","EA","0","0",427,"Ranger District/Mgt Unit","2016-07-14","2018-08-15","2016-09-30",NA,4132.3,2988,122,0.0727272727272727,0.927272727272727,0,0,0.554545454545455,110,763,NA,78,0,1,"2018-12-31",900,2016,"x-large"
"1448",17780,"Bradley Mountain Vegetation Treatment","4","Complete","12/10/06","3/9/09","CE","0","0",820,"Ranger District/Mgt Unit","2009-05-28","2009-09-01","2009-05-28","2009-09-29",9200,4400,14,0,1,0,0,1,4,97,125,0,1,1,"2018-12-31",3504,2009,"x-large"
"1449",3058,"Little Flatop Elk Habitat Improvement","4","Complete","12/9/05","4/25/06","CE","0","0",137,"Ranger District/Mgt Unit","2006-03-13","2008-06-01","2007-04-30","2008-09-15",2259,1929,106,0,1,0,0,1,4,812,505,413,1,1,"2018-12-31",4676,2006,"large"
"1450",17781,"Lower Cottonwood Creek Vegetation Treatment","4","Complete","12/10/06","4/10/08","CE","0","0",487,"Ranger District/Mgt Unit","2008-09-22","2010-10-25","2008-09-26","2010-11-15",1200,1200,4,0,1,0,0,1,4,764,781,4,1,1,"2018-12-31",3752,2008,"large"
"1451",23016,"Fremont Lake Recreation Improvement Projects","4","Complete","12/13/07","7/2/09","EA","1","0",567,"Ranger District/Mgt Unit","2014-03-10","2014-03-10",NA,NA,37,0,NA,0,1,0,0,0,1,1,NA,1757,0,0,"2018-12-31",1757,2014,"small"
"1452",40855,"Fontenelle Fire Timber Salvage","4","Complete","12/23/12","9/26/13","EA","1","0",277,"Ranger District/Mgt Unit","2005-09-14","2018-09-24","2017-09-29",NA,496,458,1479,0.475,0.525,0,0,0.3,40,4759,NA,4398,0,1,"2018-12-31",4856,2005,"medium"
"1453",35599,"Jackson Hole Mountain Resort -- East Ridge Lift Relocation","4","Complete","3/30/11","4/28/11","CE","0","0",29,"Ranger District/Mgt Unit","2014-06-13","2014-06-13","2014-09-02","2014-09-21",557,60,83,0,1,0,0,1,4,1,20,81,1,1,"2018-12-31",1662,2014,"medium"
"1454",12278,"Upper Granite Creek Fuels Reduction","4","Complete","8/15/05","2/21/06","CE","0","0",190,"Ranger District/Mgt Unit","2006-06-15","2007-11-01","2006-10-25","2008-11-15",296,271,314,0,1,0,0,1,9,505,753,132,1,1,"2018-12-31",4582,2006,"medium"
"1455",23481,"Chicken Creek Prescribed Burn","4","Complete","12/17/07","2/7/08","CE","0","0",52,"Ranger District/Mgt Unit","2009-09-01","2009-09-01","2009-09-27","2009-09-27",3200,1700,26,0,1,0,0,1,2,1,1,26,1,1,"2018-12-31",3408,2009,"x-large"
"1456",26875,"Red Cliff WUI Additional Vegetation Treatment","4","Complete","12/19/08","12/7/09","EA","0","0",353,"Ranger District/Mgt Unit","2010-08-01","2015-10-01","2014-09-16",NA,1322,1266,80,0.333333333333333,0.666666666666667,0,0,0.583333333333333,12,1888,NA,1507,0,1,"2018-12-31",3074,2010,"large"
"1457",19176,"Grouse Mountain Area Vegetation Management","4","Complete","11/21/08","5/14/12","EA","0","0",1270,"Ranger District/Mgt Unit","2013-08-09","2018-09-02","2013-08-16","2018-09-02",163,163,1,0.333333333333333,0.333333333333333,0.333333333333333,0,1,3,1851,1844,7,1,1,"2018-12-31",1970,2013,"small"
